etfg_date,as_of_date,etf_ticker,constituent_ticker,constituent_description,constituent_weight,constituent_market_value,constituent_cusip,constituent_isin,constituent_figi,constituent_sedol,shares_held_of_constituent
2021-09-08,2021-09-08,QQQ,GILD,GILEAD SCIENCES INC,0.006081,1186326280.680000,375558103,US3755581036,BBG000CKGBP2,2369174,16504261.000000
2021-09-08,2021-09-08,QQQ,GOOG,ALPHABET INC-CL C,0.041564,8108315249.730000,02079K107,US02079K1079,BBG009S3NB30,BYY88Y7,2798219.000000
2021-09-08,2021-09-08,QQQ,GOOGL,ALPHABET INC-CL A,0.038313,7474213813.080000,02079K305,US02079K3059,BBG009S39JX6,BYVY8G0,2600794.000000
2021-09-08,2021-09-08,QQQ,HON,HONEYWELL INTERNATIONAL INC,0.010514,2051001189.600000,438516106,US4385161066,BBG000H556T9,2020459,9139934.000000
2021-09-08,2021-09-08,QQQ,IDXX,IDEXX LABS,0.003956,771802959.200000,45168D104,US45168D1046,BBG000BLRT07,2459202,1122296.000000
2021-09-08,2021-09-08,QQQ,ILMN,ILLUMINA INC,0.004560,889555647.450000,452327109,US4523271090,BBG000DSMS70,2613990,1921245.000000
2021-09-08,2021-09-08,QQQ,INCY,Incyte Corp.,0.001099,214330232.480000,45337C102,US45337C1027,BBG000BNPSQ9,2471950,2894008.000000
2021-09-08,2021-09-08,QQQ,INTC,INTEL CORP,0.014592,2846585249.750000,458140100,US4581401001,BBG000C0G1D1,2463247,53137675.000000
2021-09-08,2021-09-08,QQQ,INTU,INTUIT INC,0.010462,2041017314.240000,461202103,US4612021034,BBG000BH5DV1,2459020,3595936.000000
2021-09-08,2021-09-08,QQQ,ISRG,INTUITIVE SURGICAL INC,0.008647,1686882881.600000,46120E602,US46120E6023,BBG000BJPDZ1,2871301,1558235.000000
2021-09-08,2021-09-08,QQQ,JD,JD.COM INC-ADR,0.004443,866705376.350000,47215P106,US47215P1066,BBG005YHY0Q7,BMM27D9,10604495.000000
2021-09-08,2021-09-08,QQQ,KDP,KEURIG DR PEPPER INC,0.003374,658227491.950000,49271V100,US49271V1008,BBG000TJM7F0,BD3W133,18651955.000000
2021-09-08,2021-09-08,QQQ,KHC,KRAFT HEINZ CO/THE,0.003058,596513942.820000,500754106,US5007541064,BBG005CPNTQ2,BYRY499,16095897.000000
2021-09-08,2021-09-08,QQQ,KLAC,KLA Corporation,0.003482,679262802.750000,482480100,US4824801009,BBG000BMTFR4,2480138,2017113.000000
2021-09-08,2021-09-08,QQQ,LRCX,LAM RESEARCH CORP,0.005614,1095169198.720000,512807108,US5128071082,BBG000BNFLM9,2502247,1876768.000000
2021-09-08,2021-09-08,QQQ,LULU,LULULEMON ATHLETICA INC,0.003215,627122082.300000,550021109,US5500211090,BBG000R8ZVD1,B23FN39,1646638.000000
2021-09-08,2021-09-08,QQQ,MAR,"Marriott International, Inc Class A",0.002939,573271514.180000,571903202,US5719032022,BBG000BGD7W6,2210614,4285181.000000
2021-09-08,2021-09-08,QQQ,MCHP,MICROCHIP TECHNOLOGY INC,0.002847,555362689.170000,595017104,US5950171042,BBG000BHCP19,2592174,3599473.000000
2021-09-08,2021-09-08,QQQ,MDLZ,MONDELEZ INTERNATIONAL INC-A,0.005767,1125006229.000000,609207105,US6092071058,BBG000D4LWF6,B8CKK03,18485150.000000
2021-09-08,2021-09-08,QQQ,MELI,MERCADOLIBRE INC,0.006410,1250473587.360000,58733R102,US58733R1023,BBG000GQPB11,B23X1H3,656024.000000
2021-09-08,2021-09-08,QQQ,MNST,MONSTER BEVERAGE CORP,0.003453,673578270.360000,61174X109,US61174X1090,BBG008NVB1C0,BZ07BW4,6955579.000000
2021-09-08,2021-09-08,QQQ,MRNA,MODERNA INC,0.011454,2234562578.700000,60770K107,US60770K1079,BBG003PHHZT1,BGSXTS3,5283903.000000
2021-09-08,2021-09-08,QQQ,MRVL.UW,MARVELL TECHNOLOGY GROUP LTD MRVL,0.003336,650862009.920000,573874104,US5738741041,BBG00ZXBJ153,BNKJSM5,10781216.000000
2021-09-08,2021-09-08,QQQ,MSFT,MICROSOFT CORP,0.100229,19552957696.140000,594918104,US5949181045,BBG000BPH459,2588173,65130934.000000
2021-09-08,2021-09-08,QQQ,MTCH,MATCH GROUP INC,0.002886,562979912.440000,57667L107,US57667L1070,BBG00VT0KNC3,BK80XH9,3556636.000000
2021-09-08,2021-09-08,QQQ,MU,MICRON TECHNOLOGY INC,0.005467,1066497712.830000,595112103,US5951121038,BBG000C5Z1S3,2588184,14757129.000000
